fecha,ticker,nombre_empresa,sector,cierre,apertura,maximo,minimo,volumen,fecha_carga
2024-01-01,IAM,Maroc Telecom,Telecomunicaciones,128.76,128.74,129.22,127.22,322250,2026-05-09
2024-01-02,IAM,Maroc Telecom,Telecomunicaciones,128.55,128.48,128.78,127.42,91121,2026-05-09
2024-01-03,IAM,Maroc Telecom,Telecomunicaciones,129.55,128.7,129.86,127.36,35559,2026-05-09
2024-01-04,IAM,Maroc Telecom,Telecomunicaciones,131.92,131.75,133.14,129.76,377739,2026-05-09
2024-01-05,IAM,Maroc Telecom,Telecomunicaciones,131.55,131.28,132.09,131.19,43742,2026-05-09
2024-01-08,IAM,Maroc Telecom,Telecomunicaciones,131.18,131.48,132.14,131.04,341813,2026-05-09
2024-01-09,IAM,Maroc Telecom,Telecomunicaciones,133.66,134.02,135.01,131.98,483415,2026-05-09
2024-01-10,IAM,Maroc Telecom,Telecomunicaciones,134.89,133.66,136.75,132.92,162826,2026-05-09
2024-01-11,IAM,Maroc Telecom,Telecomunicaciones,134.13,133.79,134.24,133.17,145044,2026-05-09
2024-01-12,IAM,Maroc Telecom,Telecomunicaciones,135.01,135.35,137.17,133.41,342975,2026-05-09
2024-01-15,IAM,Maroc Telecom,Telecomunicaciones,134.26,134.27,135.95,131.64,122217,2026-05-09
2024-01-16,IAM,Maroc Telecom,Telecomunicaciones,133.5,134.45,133.72,131.25,51873,2026-05-09
2024-01-17,IAM,Maroc Telecom,Telecomunicaciones,133.89,134.31,136.23,133.13,497877,2026-05-09
2024-01-18,IAM,Maroc Telecom,Telecomunicaciones,130.82,129.94,133.23,129.93,378676,2026-05-09
2024-01-19,IAM,Maroc Telecom,Telecomunicaciones,128.11,127.01,128.27,125.62,398411,2026-05-09
2024-01-22,IAM,Maroc Telecom,Telecomunicaciones,127.25,127.61,127.95,125.27,413119,2026-05-09
2024-01-23,IAM,Maroc Telecom,Telecomunicaciones,125.7,124.51,127.73,123.77,144092,2026-05-09
2024-01-24,IAM,Maroc Telecom,Telecomunicaciones,126.17,126.39,128.06,125.34,313899,2026-05-09
2024-01-25,IAM,Maroc Telecom,Telecomunicaciones,124.8,125.9,125.26,122.35,358100,2026-05-09
2024-01-26,IAM,Maroc Telecom,Telecomunicaciones,122.68,122.87,123.19,120.48,96988,2026-05-09
2024-01-29,IAM,Maroc Telecom,Telecomunicaciones,124.84,124.56,125.76,124.34,55648,2026-05-09
2024-01-30,IAM,Maroc Telecom,Telecomunicaciones,124.5,124.86,125.71,122.45,135991,2026-05-09
2024-01-31,IAM,Maroc Telecom,Telecomunicaciones,124.6,124.5,126.14,123.73,412732,2026-05-09
2024-02-01,IAM,Maroc Telecom,Telecomunicaciones,122.47,122.58,123.37,120.6,387149,2026-05-09
2024-02-02,IAM,Maroc Telecom,Telecomunicaciones,121.67,122.74,122.8,119.48,12396,2026-05-09
2024-02-05,IAM,Maroc Telecom,Telecomunicaciones,121.84,121.56,123.66,120.0,94082,2026-05-09
2024-02-06,IAM,Maroc Telecom,Telecomunicaciones,120.15,121.26,120.24,119.48,422345,2026-05-09
2024-02-07,IAM,Maroc Telecom,Telecomunicaciones,120.69,121.67,121.3,120.34,138322,2026-05-09
2024-02-08,IAM,Maroc Telecom,Telecomunicaciones,119.82,119.09,121.53,119.41,142663,2026-05-09
2024-02-09,IAM,Maroc Telecom,Telecomunicaciones,119.41,118.38,121.55,117.97,21303,2026-05-09
2024-02-12,IAM,Maroc Telecom,Telecomunicaciones,118.54,117.59,119.75,117.75,171633,2026-05-09
2024-02-13,IAM,Maroc Telecom,Telecomunicaciones,121.18,120.01,122.47,119.25,343863,2026-05-09
2024-02-14,IAM,Maroc Telecom,Telecomunicaciones,121.16,120.18,121.42,119.45,259690,2026-05-09
2024-02-15,IAM,Maroc Telecom,Telecomunicaciones,119.62,120.06,120.69,119.37,495324,2026-05-09
2024-02-16,IAM,Maroc Telecom,Telecomunicaciones,120.8,119.76,122.09,118.42,269820,2026-05-09
2024-02-19,IAM,Maroc Telecom,Telecomunicaciones,119.03,118.6,119.61,116.85,109616,2026-05-09
2024-02-20,IAM,Maroc Telecom,Telecomunicaciones,119.33,120.15,119.97,117.44,396309,2026-05-09
2024-02-21,IAM,Maroc Telecom,Telecomunicaciones,116.52,115.41,117.4,114.25,96231,2026-05-09
2024-02-22,IAM,Maroc Telecom,Telecomunicaciones,114.67,115.39,114.72,112.79,279458,2026-05-09
2024-02-23,IAM,Maroc Telecom,Telecomunicaciones,114.94,114.44,115.68,113.98,29623,2026-05-09
2024-02-26,IAM,Maroc Telecom,Telecomunicaciones,115.96,115.07,116.45,114.62,208747,2026-05-09
2024-02-27,IAM,Maroc Telecom,Telecomunicaciones,116.19,116.65,116.95,115.94,468298,2026-05-09
2024-02-28,IAM,Maroc Telecom,Telecomunicaciones,116.03,116.33,116.31,115.61,486840,2026-05-09
2024-02-29,IAM,Maroc Telecom,Telecomunicaciones,115.61,116.48,117.67,114.09,115228,2026-05-09
2024-03-01,IAM,Maroc Telecom,Telecomunicaciones,113.56,114.09,114.91,111.88,436346,2026-05-09
2024-03-04,IAM,Maroc Telecom,Telecomunicaciones,112.58,113.26,114.11,111.18,192828,2026-05-09
2024-03-05,IAM,Maroc Telecom,Telecomunicaciones,111.96,111.47,113.73,111.04,369768,2026-05-09
2024-03-06,IAM,Maroc Telecom,Telecomunicaciones,113.38,112.65,114.51,111.72,167364,2026-05-09
2024-03-07,IAM,Maroc Telecom,Telecomunicaciones,113.85,114.42,114.05,112.99,383929,2026-05-09
2024-03-08,IAM,Maroc Telecom,Telecomunicaciones,111.44,112.12,112.64,110.12,358350,2026-05-09
2024-03-11,IAM,Maroc Telecom,Telecomunicaciones,111.87,112.97,113.18,110.87,79274,2026-05-09
2024-03-12,IAM,Maroc Telecom,Telecomunicaciones,111.35,111.16,113.01,110.09,143541,2026-05-09
2024-03-13,IAM,Maroc Telecom,Telecomunicaciones,110.45,110.17,111.4,108.89,63947,2026-05-09
2024-03-14,IAM,Maroc Telecom,Telecomunicaciones,111.26,111.88,111.54,111.15,163606,2026-05-09
2024-03-15,IAM,Maroc Telecom,Telecomunicaciones,112.64,112.28,113.28,112.11,204692,2026-05-09
2024-03-18,IAM,Maroc Telecom,Telecomunicaciones,113.9,114.88,114.73,111.94,58874,2026-05-09
2024-03-19,IAM,Maroc Telecom,Telecomunicaciones,112.75,113.56,114.21,112.45,59708,2026-05-09
2024-03-20,IAM,Maroc Telecom,Telecomunicaciones,112.33,112.17,113.61,111.18,84553,2026-05-09
2024-03-21,IAM,Maroc Telecom,Telecomunicaciones,112.78,113.35,113.58,112.54,78344,2026-05-09
2024-03-22,IAM,Maroc Telecom,Telecomunicaciones,114.1,114.68,116.35,113.64,321282,2026-05-09
2024-03-25,IAM,Maroc Telecom,Telecomunicaciones,113.44,112.54,114.81,112.14,195374,2026-05-09
2024-03-26,IAM,Maroc Telecom,Telecomunicaciones,113.19,114.1,113.73,110.98,57638,2026-05-09
